id;Competición;Jornada;Partido;Árbitro;VAR;Minuto;Equipo afectado;Categoría;Subtipo;Pregunta;Decisión arbitral;Descripción;slug_imagen;slug_imagen2;slug_imagen3;slug_imagen4;slug_imagen5;slug_video;slug_video2;Respuesta si;Respuesta no;votos iniciales si;votos iniciales no;comentario1;comentario2;comentario3;comentario4;comentario5
1;LaLiga;20;Real Madrid - Levante;Sesma Espinosa;Iglesias Villanueva;55;Real Madrid;Penalti;pitado_favor;¿Era penalti sobre Mbappé?;Penalti señalado;Derribo dentro del área tras recorte del delantero.;;;;;;1;;Si. Era penalti;No. No era penalti;7;35;prueba de comentario;prueba 2;;;
2;LaLiga;20;Real Sociedad - Barcelona;Gil Manzano;Del Cerro Grande;5;Barcelona;Gol;anulado_contra;¿Era falta previa de Olmo?;Gol anulado;Falta de Dani Olmo sobre Kubo antes del gol.;;;;;;2;;Si. Robo;No. Robo;4;12;;;;;
3;LaLiga;20;Real Sociedad - Barcelona;Gil Manzano;Del Cerro Grande;13;Barcelona;Gol;anulado_contra;¿Era fuera de juego de Lamine?;Gol anulado;Gol invalidado por fuera de juego.;;;;;;3;;;;;;;;;;
4;LaLiga;20;Real Sociedad - Barcelona;Gil Manzano;Del Cerro Grande;88;Barcelona;Roja;sacada_rival;¿Era roja la entrada sobre Pedri?;Roja tras VAR;Entrada dura revisada en monitor.;;;;;;4;;;;;;;;;;
7;LaLiga;22;Real Madrid - Rayo Vallecano;Díaz de Mera;Gálvez Rascón;80;Real Madrid;Roja;sacada_rival;¿Era roja directa?;Roja directa;Entrada con los tacos sobre Ceballos.;;;;;;1;;;;;;;;;;
8;LaLiga;22;Real Madrid - Rayo Vallecano;Díaz de Mera;Gálvez Rascón;90;Real Madrid;Penalti;pitado_favor;¿Es penalti?;Penalti señalado;Patada dentro del área a Brahim.;;;;;;2;;;;;;;;;;
9;LaLiga;24;Girona - Barcelona;Soto Grado;Gálvez Rascón;45;Barcelona;Penalti;no_pitado_favor;¿Era penalti por pisotón?;No señalado;Pisotón sobre Dani Olmo.;;;;;;1;;;;;;;;;;
10;LaLiga;24;Girona - Barcelona;Soto Grado;Gálvez Rascón;70;Barcelona;Gol;anulado_contra;¿Hay falta antes del gol?;Gol anulado;Empujón al portero antes del remate.;;;;;;2;;;;;;;;;;
11;LaLiga;24;Girona - Barcelona;Soto Grado;Gálvez Rascón;86;Barcelona;Gol;concedido_contra;¿Debió anularse el gol?;Gol concedido;Falta previa sobre Koundé antes del gol.;;;;;;3;;;;;;;;;;
12;LaLiga;24;Real Madrid - Real Sociedad;Hernández Maeso;Trujillo Suárez;19;Real Madrid;Penalti;pitado_contra;¿Era penalti de Huijsen?;Penalti señalado;Derribo dentro del área.;;;;;;4;;;;;;;;;;
